1024	8324932.522520	18934911.242604
2048	22193324.664066	46334841.628959
4096	43929643.929644	91014132.077149
8192	90299823.633157	186690975.387420
16384	168144499.178982	382803738.317757
32768	406147744.174517	1168616262.482168
65536	722080211.546937	2301123595.505618
131072	1186343723.978133	4818823529.411765
262144	1711078039.737866	9348930099.857347
524288	2192169390.041980	18644665718.349930
1048576	2581656670.704444	36008791208.791206
2097152	2874811512.669090	84290675241.157562
4194304	2984131320.720352	156737817638.266052
8388608	3036230887.392520	260839800995.024902
16777216	3088277544.901582	483772087658.592834
33554432	3111806200.607182	927943362831.858398
67108864	3135090832.747664	1760463378803.777588
134217728	3146547675.669512	3687300219780.220215
268435456	3153144540.835228	7200521888412.016602
536870912	3156486019.495806	9725922318840.580078
1073741824	3158222953.960968	20873674650077.757812
