1024	8.173691	19.616858
2048	22.358079	45.878136
4096	46.651481	94.814815
8192	91.306286	195.233556
16384	170.453600	376.816927
32768	314.713792	794.568380
65536	582.645804	1563.358779
131072	998.111483	3231.558185
262144	1470.043292	6188.479698
524288	2299.508772	23740.626698
1048576	2667.290728	47148.201439
2097152	2879.390168	92304.225352
4194304	2983.443586	147479.043601
8388608	3033.200800	260839.800995
16777216	3087.775093	478801.826484
33554432	3114.094637	981123.742690
67108864	3134.405548	1796275.802998
134217728	3147.362563	3757495.184770
268435456	3153.592172	6710886.400000
536870912	3157.106805	10444959.377432
1073741824	3158.654820	20792831.603408
